"","T","P","logfO2"
"1",0,1000,-87.4970520492624
"2",50,1000,-72.0655735938934
"3",100,1000,-60.7779454478252
"4",150,1000,-52.1716124995043
"5",200,1000,-45.4021177831192
"6",225,1000,-42.5351000001506
"7",250,1000,-39.9481313639955
"8",275,1000,-37.6034914572566
"9",300,1000,-35.4700162414962
"10",310,1000,-34.6697841671342
"11",320,1000,-33.8976704850752
"12",330,1000,-33.1523064887212
"13",340,1000,-32.4324121428213
"14",350,1000,-31.7367889762204
"15",360,1000,-31.0643136493663
"16",370,1000,-30.4139321228783
"17",380,1000,-29.7846543625515
"18",390,1000,-29.1755495240002
"19",400,1000,-28.5857415669165
"20",410,1000,-28.0144052548081
"21",420,1000,-27.460762501185
"22",430,1000,-26.9240790276282
"23",440,1000,-26.4036613030576
"24",450,1000,-25.8988537369284
"25",460,1000,-25.4090361020652
"26",470,1000,-24.9336211654678
"27",480,1000,-24.4720525077319
"28",490,1000,-24.0238025137589
"29",500,1000,-23.5883705192297
"30",525,1000,-22.552807157337
"31",550,1000,-21.5876386326738
"32",575,1000,-20.6868460890603
"33",600,1000,-19.8450900711514
"34",650,1000,-18.3252470434194
"35",700,1000,-16.9674010723093
