"","T","P","logfO2"
"1",0,1000,-87.4970520492624
"2",10,1000,-83.9764398558301
"3",20,1000,-80.6932036522634
"4",30,1000,-77.6270955331365
"5",40,1000,-74.757293563945
"6",50,1000,-72.0655735938934
"7",60,1000,-69.5359153423979
"8",70,1000,-67.1541781374065
"9",80,1000,-64.9078323397844
"10",90,1000,-62.7857356001897
"11",100,1000,-60.7779454478252
"12",110,1000,-58.8755615046012
"13",120,1000,-57.0705919972331
"14",130,1000,-55.3558403077303
"15",140,1000,-53.7248081356489
"16",150,1000,-52.1716124995043
"17",160,1000,-50.6909143215537
"18",170,1000,-49.2778567510393
"19",180,1000,-47.9280117095111
"20",190,1000,-46.6373334059831
"21",200,1000,-45.4021177831192
"22",210,1000,-44.2189670290212
"23",220,1000,-43.0847584306446
"24",230,1000,-41.9966169608379
"25",240,1000,-40.951891086466
"26",250,1000,-39.9481313639955
"27",260,1000,-38.9830714544302
"28",270,1000,-38.0546112440472
"29",280,1000,-37.1608018030235
"30",290,1000,-36.299831952328
"31",300,1000,-35.4700162414962
"32",310,1000,-34.6697841671342
"33",320,1000,-33.8976704850752
"34",330,1000,-33.1523064887212
"35",340,1000,-32.4324121428213
"36",350,1000,-31.7367889762204
"37",360,1000,-31.0643136493663
"38",370,1000,-30.4139321228783
"39",380,1000,-29.7846543625515
"40",390,1000,-29.1755495240002
"41",400,1000,-28.5857415669165
"42",410,1000,-28.0144052548081
"43",420,1000,-27.460762501185
"44",430,1000,-26.9240790276282
"45",440,1000,-26.4036613030576
"46",450,1000,-25.8988537369284
"47",460,1000,-25.4090361020652
"48",470,1000,-24.9336211654678
"49",480,1000,-24.4720525077319
"50",490,1000,-24.0238025137589
"51",500,1000,-23.5883705192297
"52",510,1000,-23.1652810989063
"53",520,1000,-22.7540824842327
"54",530,1000,-22.354345098957
"55",540,1000,-21.9656602026114
"56",550,1000,-21.5876386326738
"57",560,1000,-21.2199096371159
"58",570,1000,-20.862119789836
"59",580,1000,-20.5139319821735
"60",590,1000,-20.1750244843384
"61",600,1000,-19.8450900711514
