"","T","P","logfO2"
"1",300,500,-42
"2",325,500,-42
"3",350,500,-42
"4",375,500,-42
"5",400,500,-42
"6",425,500,-42
"7",450,500,-42
"8",475,500,-42
"9",500,500,-42
"10",525,500,-42
"11",550,500,-42
"12",575,500,-42
"13",600,500,-42
"14",625,500,-42
"15",650,500,-42
"16",675,500,-42
"17",700,500,-42
"18",300,500,-40
"19",325,500,-40
"20",350,500,-40
"21",375,500,-40
"22",400,500,-40
"23",425,500,-40
"24",450,500,-40
"25",475,500,-40
"26",500,500,-40
"27",525,500,-40
"28",550,500,-40
"29",575,500,-40
"30",600,500,-40
"31",625,500,-40
"32",650,500,-40
"33",675,500,-40
"34",700,500,-40
"35",300,500,-38
"36",325,500,-38
"37",350,500,-38
"38",375,500,-38
"39",400,500,-38
"40",425,500,-38
"41",450,500,-38
"42",475,500,-38
"43",500,500,-38
"44",525,500,-38
"45",550,500,-38
"46",575,500,-38
"47",600,500,-38
"48",625,500,-38
"49",650,500,-38
"50",675,500,-38
"51",700,500,-38
"52",300,500,-36
"53",325,500,-36
"54",350,500,-36
"55",375,500,-36
"56",400,500,-36
"57",425,500,-36
"58",450,500,-36
"59",475,500,-36
"60",500,500,-36
"61",525,500,-36
"62",550,500,-36
"63",575,500,-36
"64",600,500,-36
"65",625,500,-36
"66",650,500,-36
"67",675,500,-36
"68",700,500,-36
"69",300,500,-34
"70",325,500,-34
"71",350,500,-34
"72",375,500,-34
"73",400,500,-34
"74",425,500,-34
"75",450,500,-34
"76",475,500,-34
"77",500,500,-34
"78",525,500,-34
"79",550,500,-34
"80",575,500,-34
"81",600,500,-34
"82",625,500,-34
"83",650,500,-34
"84",675,500,-34
"85",700,500,-34
"86",300,500,-32
"87",325,500,-32
"88",350,500,-32
"89",375,500,-32
"90",400,500,-32
"91",425,500,-32
"92",450,500,-32
"93",475,500,-32
"94",500,500,-32
"95",525,500,-32
"96",550,500,-32
"97",575,500,-32
"98",600,500,-32
"99",625,500,-32
"100",650,500,-32
"101",675,500,-32
"102",700,500,-32
"103",300,500,-30
"104",325,500,-30
"105",350,500,-30
"106",375,500,-30
"107",400,500,-30
"108",425,500,-30
"109",450,500,-30
"110",475,500,-30
"111",500,500,-30
"112",525,500,-30
"113",550,500,-30
"114",575,500,-30
"115",600,500,-30
"116",625,500,-30
"117",650,500,-30
"118",675,500,-30
"119",700,500,-30
"120",300,500,-28
"121",325,500,-28
"122",350,500,-28
"123",375,500,-28
"124",400,500,-28
"125",425,500,-28
"126",450,500,-28
"127",475,500,-28
"128",500,500,-28
"129",525,500,-28
"130",550,500,-28
"131",575,500,-28
"132",600,500,-28
"133",625,500,-28
"134",650,500,-28
"135",675,500,-28
"136",700,500,-28
"137",300,500,-26
"138",325,500,-26
"139",350,500,-26
"140",375,500,-26
"141",400,500,-26
"142",425,500,-26
"143",450,500,-26
"144",475,500,-26
"145",500,500,-26
"146",525,500,-26
"147",550,500,-26
"148",575,500,-26
"149",600,500,-26
"150",625,500,-26
"151",650,500,-26
"152",675,500,-26
"153",700,500,-26
"154",300,500,-24
"155",325,500,-24
"156",350,500,-24
"157",375,500,-24
"158",400,500,-24
"159",425,500,-24
"160",450,500,-24
"161",475,500,-24
"162",500,500,-24
"163",525,500,-24
"164",550,500,-24
"165",575,500,-24
"166",600,500,-24
"167",625,500,-24
"168",650,500,-24
"169",675,500,-24
"170",700,500,-24
"171",300,500,-22
"172",325,500,-22
"173",350,500,-22
"174",375,500,-22
"175",400,500,-22
"176",425,500,-22
"177",450,500,-22
"178",475,500,-22
"179",500,500,-22
"180",525,500,-22
"181",550,500,-22
"182",575,500,-22
"183",600,500,-22
"184",625,500,-22
"185",650,500,-22
"186",675,500,-22
"187",700,500,-22
"188",300,500,-20
"189",325,500,-20
"190",350,500,-20
"191",375,500,-20
"192",400,500,-20
"193",425,500,-20
"194",450,500,-20
"195",475,500,-20
"196",500,500,-20
"197",525,500,-20
"198",550,500,-20
"199",575,500,-20
"200",600,500,-20
"201",625,500,-20
"202",650,500,-20
"203",675,500,-20
"204",700,500,-20
"205",300,500,-18
"206",325,500,-18
"207",350,500,-18
"208",375,500,-18
"209",400,500,-18
"210",425,500,-18
"211",450,500,-18
"212",475,500,-18
"213",500,500,-18
"214",525,500,-18
"215",550,500,-18
"216",575,500,-18
"217",600,500,-18
"218",625,500,-18
"219",650,500,-18
"220",675,500,-18
"221",700,500,-18
"222",300,500,-16
"223",325,500,-16
"224",350,500,-16
"225",375,500,-16
"226",400,500,-16
"227",425,500,-16
"228",450,500,-16
"229",475,500,-16
"230",500,500,-16
"231",525,500,-16
"232",550,500,-16
"233",575,500,-16
"234",600,500,-16
"235",625,500,-16
"236",650,500,-16
"237",675,500,-16
"238",700,500,-16
"239",300,500,-14
"240",325,500,-14
"241",350,500,-14
"242",375,500,-14
"243",400,500,-14
"244",425,500,-14
"245",450,500,-14
"246",475,500,-14
"247",500,500,-14
"248",525,500,-14
"249",550,500,-14
"250",575,500,-14
"251",600,500,-14
"252",625,500,-14
"253",650,500,-14
"254",675,500,-14
"255",700,500,-14
