"","T","P","logfO2"
"1",300,500,-41
"2",325,500,-41
"3",350,500,-41
"4",375,500,-41
"5",400,500,-41
"6",425,500,-41
"7",450,500,-41
"8",475,500,-41
"9",500,500,-41
"10",525,500,-41
"11",550,500,-41
"12",575,500,-41
"13",600,500,-41
"14",625,500,-41
"15",650,500,-41
"16",675,500,-41
"17",700,500,-41
"18",300,500,-39
"19",325,500,-39
"20",350,500,-39
"21",375,500,-39
"22",400,500,-39
"23",425,500,-39
"24",450,500,-39
"25",475,500,-39
"26",500,500,-39
"27",525,500,-39
"28",550,500,-39
"29",575,500,-39
"30",600,500,-39
"31",625,500,-39
"32",650,500,-39
"33",675,500,-39
"34",700,500,-39
"35",300,500,-37
"36",325,500,-37
"37",350,500,-37
"38",375,500,-37
"39",400,500,-37
"40",425,500,-37
"41",450,500,-37
"42",475,500,-37
"43",500,500,-37
"44",525,500,-37
"45",550,500,-37
"46",575,500,-37
"47",600,500,-37
"48",625,500,-37
"49",650,500,-37
"50",675,500,-37
"51",700,500,-37
"52",300,500,-35
"53",325,500,-35
"54",350,500,-35
"55",375,500,-35
"56",400,500,-35
"57",425,500,-35
"58",450,500,-35
"59",475,500,-35
"60",500,500,-35
"61",525,500,-35
"62",550,500,-35
"63",575,500,-35
"64",600,500,-35
"65",625,500,-35
"66",650,500,-35
"67",675,500,-35
"68",700,500,-35
"69",300,500,-33
"70",325,500,-33
"71",350,500,-33
"72",375,500,-33
"73",400,500,-33
"74",425,500,-33
"75",450,500,-33
"76",475,500,-33
"77",500,500,-33
"78",525,500,-33
"79",550,500,-33
"80",575,500,-33
"81",600,500,-33
"82",625,500,-33
"83",650,500,-33
"84",675,500,-33
"85",700,500,-33
"86",300,500,-31
"87",325,500,-31
"88",350,500,-31
"89",375,500,-31
"90",400,500,-31
"91",425,500,-31
"92",450,500,-31
"93",475,500,-31
"94",500,500,-31
"95",525,500,-31
"96",550,500,-31
"97",575,500,-31
"98",600,500,-31
"99",625,500,-31
"100",650,500,-31
"101",675,500,-31
"102",700,500,-31
"103",300,500,-29
"104",325,500,-29
"105",350,500,-29
"106",375,500,-29
"107",400,500,-29
"108",425,500,-29
"109",450,500,-29
"110",475,500,-29
"111",500,500,-29
"112",525,500,-29
"113",550,500,-29
"114",575,500,-29
"115",600,500,-29
"116",625,500,-29
"117",650,500,-29
"118",675,500,-29
"119",700,500,-29
"120",300,500,-27
"121",325,500,-27
"122",350,500,-27
"123",375,500,-27
"124",400,500,-27
"125",425,500,-27
"126",450,500,-27
"127",475,500,-27
"128",500,500,-27
"129",525,500,-27
"130",550,500,-27
"131",575,500,-27
"132",600,500,-27
"133",625,500,-27
"134",650,500,-27
"135",675,500,-27
"136",700,500,-27
"137",300,500,-25
"138",325,500,-25
"139",350,500,-25
"140",375,500,-25
"141",400,500,-25
"142",425,500,-25
"143",450,500,-25
"144",475,500,-25
"145",500,500,-25
"146",525,500,-25
"147",550,500,-25
"148",575,500,-25
"149",600,500,-25
"150",625,500,-25
"151",650,500,-25
"152",675,500,-25
"153",700,500,-25
"154",300,500,-23
"155",325,500,-23
"156",350,500,-23
"157",375,500,-23
"158",400,500,-23
"159",425,500,-23
"160",450,500,-23
"161",475,500,-23
"162",500,500,-23
"163",525,500,-23
"164",550,500,-23
"165",575,500,-23
"166",600,500,-23
"167",625,500,-23
"168",650,500,-23
"169",675,500,-23
"170",700,500,-23
"171",300,500,-21
"172",325,500,-21
"173",350,500,-21
"174",375,500,-21
"175",400,500,-21
"176",425,500,-21
"177",450,500,-21
"178",475,500,-21
"179",500,500,-21
"180",525,500,-21
"181",550,500,-21
"182",575,500,-21
"183",600,500,-21
"184",625,500,-21
"185",650,500,-21
"186",675,500,-21
"187",700,500,-21
"188",300,500,-19
"189",325,500,-19
"190",350,500,-19
"191",375,500,-19
"192",400,500,-19
"193",425,500,-19
"194",450,500,-19
"195",475,500,-19
"196",500,500,-19
"197",525,500,-19
"198",550,500,-19
"199",575,500,-19
"200",600,500,-19
"201",625,500,-19
"202",650,500,-19
"203",675,500,-19
"204",700,500,-19
"205",300,500,-17
"206",325,500,-17
"207",350,500,-17
"208",375,500,-17
"209",400,500,-17
"210",425,500,-17
"211",450,500,-17
"212",475,500,-17
"213",500,500,-17
"214",525,500,-17
"215",550,500,-17
"216",575,500,-17
"217",600,500,-17
"218",625,500,-17
"219",650,500,-17
"220",675,500,-17
"221",700,500,-17
"222",300,500,-15
"223",325,500,-15
"224",350,500,-15
"225",375,500,-15
"226",400,500,-15
"227",425,500,-15
"228",450,500,-15
"229",475,500,-15
"230",500,500,-15
"231",525,500,-15
"232",550,500,-15
"233",575,500,-15
"234",600,500,-15
"235",625,500,-15
"236",650,500,-15
"237",675,500,-15
"238",700,500,-15
