"","T","P","logfO2"
"1",0,1000,-41
"2",10,1000,-41
"3",20,1000,-41
"4",30,1000,-41
"5",40,1000,-41
"6",50,1000,-41
"7",60,1000,-41
"8",70,1000,-41
"9",80,1000,-41
"10",90,1000,-41
"11",100,1000,-41
"12",110,1000,-41
"13",120,1000,-41
"14",130,1000,-41
"15",140,1000,-41
"16",150,1000,-41
"17",160,1000,-41
"18",170,1000,-41
"19",180,1000,-41
"20",190,1000,-41
"21",200,1000,-41
"22",210,1000,-41
"23",220,1000,-41
"24",230,1000,-41
"25",240,1000,-41
"26",250,1000,-41
"27",260,1000,-41
"28",270,1000,-41
"29",280,1000,-41
"30",290,1000,-41
"31",300,1000,-41
"32",310,1000,-41
"33",320,1000,-41
"34",330,1000,-41
"35",340,1000,-41
"36",350,1000,-41
"37",360,1000,-41
"38",370,1000,-41
"39",380,1000,-41
"40",390,1000,-41
"41",400,1000,-41
"42",410,1000,-41
"43",420,1000,-41
"44",430,1000,-41
"45",440,1000,-41
"46",450,1000,-41
"47",460,1000,-41
"48",470,1000,-41
"49",480,1000,-41
"50",490,1000,-41
"51",500,1000,-41
"52",510,1000,-41
"53",520,1000,-41
"54",530,1000,-41
"55",540,1000,-41
"56",550,1000,-41
"57",560,1000,-41
"58",570,1000,-41
"59",580,1000,-41
"60",590,1000,-41
"61",600,1000,-41
