"","T","P","logfO2"
"1",300,1000,-35.4700162414962
"2",310,1000,-34.6697841671342
"3",320,1000,-33.8976704850752
"4",330,1000,-33.1523064887212
"5",340,1000,-32.4324121428213
"6",350,1000,-31.7367889762204
"7",360,1000,-31.0643136493663
"8",370,1000,-30.4139321228783
"9",380,1000,-29.7846543625515
"10",390,1000,-29.1755495240002
"11",400,1000,-28.5857415669165
"12",410,1000,-28.0144052548081
"13",420,1000,-27.460762501185
"14",430,1000,-26.9240790276282
"15",440,1000,-26.4036613030576
"16",450,1000,-25.8988537369284
"17",460,1000,-25.4090361020652
"18",470,1000,-24.9336211654678
"19",480,1000,-24.4720525077319
"20",490,1000,-24.0238025137589
"21",500,1000,-23.5883705192297
"22",510,1000,-23.1652810989063
"23",520,1000,-22.7540824842327
"24",530,1000,-22.354345098957
"25",540,1000,-21.9656602026114
"26",550,1000,-21.5876386326738
"27",560,1000,-21.2199096371159
"28",570,1000,-20.862119789836
"29",580,1000,-20.5139319821735
"30",590,1000,-20.1750244843384
"31",600,1000,-19.8450900711514
