,"graphite,cr","CO,g","CO2,g","CH4,g","H2,g","H2O,g","O2,g","ethane,g","propane,g"
1,0,-6.215885295,-5.977866719,2.697568946,0.173457427,-1.25624699,-42,-1.193625782,-4.32647334
2,0,-6.637385078,-7.479665164,2.697022711,0.331736157,-2.03077873,-42,-1.091495365,-4.159102322
3,0,-7.025291475,-8.861160099,2.696260111,0.478251342,-2.743839056,-42,-0.997723661,-4.005014279
4,0,-7.383504424,-10.13626788,2.695274039,0.614274984,-3.402667617,-42,-0.911351826,-3.862685627
5,0,-7.715341889,-11.31683757,2.694031235,0.740881436,-4.01343441,-42,-0.83161083,-3.730884692
6,0,-8.023644569,-12.41302105,2.692493146,0.858990407,-4.581423998,-42,-0.757862692,-3.608586191
7,0,-8.310858781,-13.43356648,2.69061944,0.969394617,-5.111187892,-42,-0.689573469,-3.494929608
8,0,-8.579102638,-14.38605281,2.688365317,1.072779182,-5.606669082,-42,-0.626299926,-3.389196889
9,0,-8.83021934,-15.27707881,2.685693823,1.169744514,-6.071295094,-42,-0.567657142,-3.290765683
10,0,-9.0658204,-16.11241664,2.682561652,1.26081287,-6.508065585,-42,-0.51332851,-3.199119714
11,0,-9.287320961,-16.89713729,2.678928135,1.346444009,-6.919613654,-42,-0.463043053,-3.113816179
12,0,-9.495968843,-17.63571399,2.67475381,1.427043706,-7.308260675,-42,-0.41657001,-3.034476569
13,0,-9.692868579,-18.33210777,2.670000855,1.502971619,-7.676060875,-42,-0.373711965,-2.960775909
14,0,-9.879001424,-18.98983871,2.664633475,1.574547877,-8.024838421,-42,-0.334299088,-2.892433742
15,0,-10.0552421,-19.61204569,2.658618261,1.642058626,-8.356218449,-42,-0.298184284,-2.829206554
16,0,-10.22237287,-20.20153659,2.651924516,1.705760727,-8.671653147,-42,-0.265239089,-2.770881375
17,0,-10.38109549,-20.76083087,2.644524546,1.765885738,-8.972443795,-42,-0.235350183,-2.717270348
18,0,-5.215885295,-3.977866719,2.697134887,0.173240398,-0.256464019,-40,-1.194276871,-4.327341459
19,0,-5.637385078,-5.479665164,2.696949722,0.331699664,-1.030815223,-40,-1.091604848,-4.1592483
20,0,-6.025291475,-6.861160099,2.696245946,0.478244259,-1.743846139,-40,-0.997744908,-4.005042607
21,0,-6.383504424,-8.136267884,2.695270875,0.614273403,-2.402669198,-40,-0.911356572,-3.862691956
22,0,-6.715341889,-9.316837565,2.694030337,0.740880986,-3.01343486,-40,-0.831612175,-3.730886485
23,0,-7.023644569,-10.41302105,2.692492642,0.858990155,-3.58142425,-40,-0.757863451,-3.608587207
24,0,-7.310858781,-11.43356648,2.690618758,0.969394279,-4.111188229,-40,-0.689574493,-3.49493097
25,0,-7.579102638,-12.38605281,2.688367835,1.072780441,-4.606667824,-40,-0.62629615,-3.389191855
26,0,-7.83021934,-13.27707881,2.685693816,1.169744511,-5.071295098,-40,-0.567657152,-3.290765697
27,0,-8.0658204,-14.11241664,2.68256165,1.260812869,-5.508065586,-40,-0.513328514,-3.199119719
28,0,-8.287320961,-14.89713729,2.678928134,1.346444008,-5.919613655,-40,-0.463043054,-3.113816181
