"","graphite,cr","CO,g","CO2,g","CH4,g","H2,g","H2O,g","O2,g","ethane,g","propane,g"
"1",0,-5.71588529478334,-4.97786671947369,2.69746467478837,0.173405292096366,-0.756299123986426,-41,-1.19378219020013,-4.32668188491152
"2",0,-6.13738507750108,-6.47966516436174,2.697005172431,0.331727389415283,-1.53078749681477,-41,-1.09152167263739,-4.15913740009868
"3",0,-6.52529147496673,-7.86116009871797,2.69625670045263,0.47824963634403,-2.24384076192719,-41,-0.997728777063069,-4.00502109887652
"4",0,-6.88350442368937,-9.13626788428755,2.69527325928505,0.61427459440888,-2.90266800650366,-41,-0.911352995098387,-3.86268718804255
"5",0,-7.21534188852973,-10.3168375650712,2.69403097547989,0.740881307218974,-3.51343453672744,-41,-0.831611222108213,-3.73088521743696
"6",0,-7.52364456923548,-11.4130210464401,2.69249293018515,0.858990300711666,-4.08142410229149,-41,-0.757863019950241,-3.60858662968381
"7",0,-7.81085878074527,-12.4335664777921,2.69061907909475,0.969394439563331,-4.61118806790095,-41,-0.689574012835877,-3.49493033104673
"8",0,-8.07910263767712,-13.3860528054588,2.68836839534719,1.07278072359583,-5.10666753930726,-41,-0.626295310336503,-3.38919073652614
"9",0,-8.33021933988329,-14.2770788140092,2.68569382102989,1.16974451338237,-5.57129509506791,-41,-0.567657144770451,-3.29076568664888
"10",0,-8.56582040011279,-15.1124166362352,2.68256165186448,1.26081286960336,-6.00806558511223,-41,-0.513328510714347,-3.19911971530391
"11",0,-8.78732096143887,-15.8971372867852,2.67892813457808,1.34644400886323,-6.41961365416872,-41,-0.463043053374205,-3.11381617904682
"12",0,-8.99596884347845,-16.6357139926101,2.67475380987678,1.42704370607858,-6.80826067546188,-41,-0.416570010530369,-3.03447656952909
"13",0,-9.19286857942641,-17.3321077708075,2.67000085491317,1.50297161889673,-7.1760608751722,-41,-0.373711965513301,-2.96077590934224
"14",0,-9.37900142375924,-17.9898387132535,2.6646334748927,1.57454787645401,-7.5248384214396,-41,-0.334299088278712,-2.89243374199066
"15",0,-9.55524209734328,-18.6120456878363,2.65861826099881,1.64205862618333,-7.85621844945575,-41,-0.298184284176838,-2.82920655449953
"16",0,-9.72237287433382,-19.2015365944334,2.65192451535572,1.70576072671323,-8.17165314728434,-41,-0.265239089527087,-2.77088137655268
"17",0,-9.881095490581,-19.7608308742983,2.64452454420802,1.76588573667742,-8.47244379543489,-41,-0.235350185334129,-2.71727035167115
"18",0,-4.71588529478334,-2.97786671947369,2.69609145170134,0.172718679575793,0.243014262386477,-39,-1.19584202415154,-4.32942832928076
"19",0,-5.13738507750108,-4.47966516436174,2.69677436421418,0.331611984623263,-0.530902902260089,-39,-1.09186788442718,-4.15959901598234
"20",0,-5.52529147496673,-5.86116009871797,2.69621196131697,0.478227266928823,-1.2438631310291,-39,-0.997795885773724,-4.00511057726579
"21",0,-5.88350442368937,-7.13626788428755,2.69526339182179,0.614269660542516,-1.90267294036684,-39,-0.911367795911169,-3.86270692105949
"22",0,-6.21534188852973,-8.31683756507122,2.69402845873484,0.740880048327147,-2.5134357961462,-39,-0.831614994379333,-3.73089024735194
"23",0,-6.52364456923548,-9.41302104644012,2.69249204131521,0.85898985543343,-3.08142454803803,-39,-0.757864352491908,-3.60858840594252
"24",0,-6.81085878074527,-10.4335664777921,2.69061839296433,0.969394094038201,-3.61118841510781,-39,-0.689575040637584,-3.49493169831943
"25",0,-7.07910263767712,-11.3860528054588,2.68836735365623,1.07278020120773,-4.10666806219978,-39,-0.626296871046429,-3.38919281367274
"26",0,-7.33021933988329,-12.2770788140092,2.68569379970556,1.16974450272062,-4.57129510572973,-39,-0.567657176757284,-3.29076572929714
"27",0,-7.56582040011279,-13.1124166362352,2.68256164402807,1.26081286568499,-5.00806558903017,-39,-0.513328522469086,-3.19911973097734
"28",0,-7.78732096143887,-13.8971372867852,2.67892813152172,1.34644400733437,-5.41961365569796,-39,-0.463043057958427,-3.11381618515666
"29",0,-7.99596884347845,-14.6357139926101,2.67475380861428,1.42704370544857,-5.80826067609005,-39,-0.416570012425964,-3.03447657205465
"30",0,-8.19286857942641,-15.3321077708075,2.67000085434173,1.50297161861464,-6.17606087545557,-39,-0.373711966374719,-2.96077591049487
"31",0,-8.37900142375924,-15.9898387132535,2.66463347455321,1.57454787628614,-6.52483842160965,-39,-0.334299088790057,-2.89243374267462
"32",0,-8.55524209734328,-16.6120456878363,2.65861826061696,1.64205862599619,-6.85621844964013,-39,-0.298184284752723,-2.8292065552694
"33",0,-8.72237287433382,-17.2015365944334,2.65192451455575,1.70576072632244,-7.17165314766747,-39,-0.265239090741454,-2.77088137817308
"34",0,-8.881095490581,-17.7608308742983,2.6445245423509,1.76588573574377,-7.47244379636428,-39,-0.235350188111288,-2.71727035537131
"35",0,-3.71588529478334,-0.977866719473687,2.68227854448566,0.165812228565495,1.23610781360522,-37,-1.21656138727943,-4.35705414702095
"36",0,-4.13738507750108,-2.47966516436174,2.69446379143006,0.330456698378974,0.46794181149562,-37,-1.09533374323778,-4.16422016008932
"37",0,-4.52529147496673,-3.86116009871797,2.6957646359344,0.478003604982736,-0.244086792240576,-37,-0.998466873927678,-4.00600523000315
"38",0,-4.88350442368937,-5.13626788428755,2.69516514622678,0.614220538243285,-0.902722062301857,-37,-0.911515164793362,-3.8629034134233
"39",0,-5.21534188852973,-6.31683756507122,2.69400428996791,0.740867963989817,-1.51344788052586,-37,-0.831651249157248,-3.73093858614835
"40",0,-5.52364456923548,-7.41302104644012,2.6924853617631,0.85898651610797,-2.08142788726382,-37,-0.757874372255317,-3.60860176396682
"41",0,-5.81085878074527,-8.43356647779211,2.69061614443468,0.969392971773941,-2.61118953590835,-37,-0.689578414290086,-3.4949361988944
"42",0,-6.07910263767712,-9.38605280545876,2.68836610112407,1.07277957285153,-3.10666869285178,-37,-0.626298746673989,-3.38919531643472
"43",0,-6.33021933988329,-10.2770788140092,2.6856964497537,1.16974582840726,-3.57129377928078,-37,-0.567653202185067,-3.29076043076701
"44",0,-6.56582040011279,-11.1124166362352,2.68256156567628,1.26081282650917,-4.00806562820626,-37,-0.513328639996571,-3.19911988768028
"45",0,-6.78732096143887,-11.8971372867852,2.67892810097838,1.34644399206297,-4.41961367096945,-37,-0.463043103773283,-3.11381624624347
"46",0,-6.99596884347845,-12.6357139926101,2.67475379604228,1.42704369916173,-4.80826068237723,-37,-0.416570031283198,-3.03447659719745
"47",0,-7.19286857942641,-13.3321077708075,2.67000084889255,1.50297161588696,-5.17606087818222,-37,-0.37371197454509,-2.96077592138547
"48",0,-7.37900142375924,-13.9898387132535,2.66463347204859,1.57454787503031,-5.52483842286882,-37,-0.334299092543252,-2.89243374767645
"49",0,-7.55524209734328,-14.6120456878363,2.65861825934115,1.64205862535781,-5.85621845027848,-37,-0.298184286660643,-2.82920655781131
"50",0,-7.72237287433382,-15.2015365944334,2.65192451366338,1.70576072586758,-6.17165314812896,-37,-0.265239092069458,-2.77088137993778
"51",0,-7.881095490581,-15.7608308742983,2.64452454118229,1.76588573516616,-6.47244379695178,-37,-0.235350189870424,-2.71727035772607
"52",0,-2.71588529478334,1.02213328052631,2.53507035113034,0.0922081297697095,2.16250371296742,-35,-1.43737367528583,-4.65147053155541
"53",0,-3.13738507750108,-0.479665164361741,2.67109640557157,0.318773005372773,1.45625811848882,-35,-1.13038482247034,-4.21095493291075
"54",0,-3.52529147496673,-1.86116009871797,2.69128089107849,0.475761731945152,0.753671334002283,-35,-1.00519249016316,-4.0149727182561
"55",0,-3.88350442368937,-3.13626788428755,2.69418239308397,0.613729161571156,0.0967865610260006,-35,-0.912989294025603,-3.86486892026882
"56",0,-4.21534188852973,-4.31683756507122,2.6937632004812,0.740747419095323,-0.513568425524482,-35,-0.832012882527773,-3.73142076138831
"57",0,-4.52364456923548,-5.41302104644012,2.69241997148946,0.858953820929111,-1.08146058241412,-35,-0.757972457932174,-3.60873254650641
"58",0,-4.81085878074527,-6.43356647779211,2.69059661278535,0.969383205019169,-1.6111993035984,-35,-0.689607709326431,-3.49497526107702
"59",0,-5.07910263767712,-7.38605280545876,2.68835948865439,1.07277626710156,-2.10667199801282,-35,-0.626308667573375,-3.38920854185078
"60",0,-5.33021933988329,-8.27707881400918,2.68569351371134,1.16974435913827,-2.57129524954932,-35,-0.567657605569807,-3.29076630002362
"61",0,-5.56582040011279,-9.11241663623518,2.68256078216211,1.26081243475203,-3.00806601996314,-35,-0.513329815267944,-3.1991214547096
"62",0,-5.78732096143887,-9.89713728678521,2.67892779555581,1.34644383935208,-3.41961382368045,-35,-0.463043561907476,-3.1138168570895
"63",0,-5.99596884347845,-10.6357139926101,2.67475367037898,1.42704363633059,-3.80826074520864,-35,-0.416570219778339,-3.03447684852474
"64",0,-6.19286857942641,-11.3321077708075,2.67000079455919,1.50297158872276,-4.1760609053463,-35,-0.373712056048368,-2.96077603005878
"65",0,-6.37900142375924,-11.9898387132535,2.66463344744497,1.57454786272977,-4.52483843516764,-35,-0.334299129449001,-2.89243379688931
"66",0,-6.55524209734328,-12.6120456878363,2.65861824766955,1.64205861952484,-4.85621845610803,-35,-0.298184304175334,-2.82920658116497
"67",0,-6.72237287433382,-13.2015365944334,2.65192450779484,1.70576072294378,-5.17165315104574,-35,-0.265239100875293,-2.77088139169147
