"","T","P","logfO2","aaaaa"
"1",0,1000,-87.4970520492624,-1.96218451497673
"2",50,1000,-72.0655735938934,-0.705849590805386
"3",100,1000,-60.7779454478252,0.178086061986683
"4",150,1000,-52.1716124995043,0.823317269246267
"5",200,1000,-45.4021177831192,1.30672476713932
"6",225,1000,-42.5351000001506,1.50322970651499
"7",250,1000,-39.9481313639955,1.67543764804914
"8",275,1000,-37.6034914572566,1.82668879736914
"9",300,1000,-35.4700162414962,1.95971131468073
"10",310,1000,-34.6697841671342,2.00833321724953
"11",320,1000,-33.8976704850752,2.05452734878473
"12",330,1000,-33.1523064887212,2.0984102433826
"13",340,1000,-32.4324121428213,2.14009015500012
"14",350,1000,-31.7367889762204,2.17966786309044
"15",360,1000,-31.0643136493663,2.21723723031937
"16",370,1000,-30.4139321228783,2.25288580515456
"17",380,1000,-29.7846543625515,2.28669528406633
"18",390,1000,-29.1755495240002,2.31874203053597
"19",400,1000,-28.5857415669165,2.34909743349801
"20",410,1000,-28.0144052548081,2.37782847355493
"21",420,1000,-27.460762501185,2.4049978730741
"22",430,1000,-26.9240790276282,2.43066469599056
"23",440,1000,-26.4036613030576,2.45488452464953
"24",450,1000,-25.8988537369284,2.47771001447261
"25",460,1000,-25.4090361020652,2.499191108046
"26",470,1000,-24.9336211654678,2.51937557996606
"27",480,1000,-24.4720525077319,2.53830928544747
"28",490,1000,-24.0238025137589,2.5560367745204
"29",500,1000,-23.5883705192297,2.57260156629728
"30",525,1000,-22.552807157337,2.60920867818792
"31",550,1000,-21.5876386326738,2.63948978575631
"32",575,1000,-20.6868460890603,2.6641272613111
"33",600,1000,-19.8450900711514,2.68380264438517
"34",650,1000,-18.3252470434194,2.71080281896364
"35",700,1000,-16.9674010723093,2.72485840863239
